============================================================
 CATALYST — INVENTÁRIO COMPLETO DE PRODUTOS
============================================================

TOTAL DE REGISTROS: 419

113 | ID: 113     | Tâmara sem Caroço | Frutas Desidratadas | R$ 5,90 | 100 g1 unidade | CÓD: 976 | IMG: SIM
114 | ID: 114     | Tâmara Jumbo | Frutas Desidratadas | R$ 9,90 | 100 g1 unidade | CÓD: 95 | IMG: SIM
115 | ID: 115     | Banana Passa | Frutas Desidratadas | R$ 6,50 | 100 g1 unidade | CÓD: 27 | IMG: SIM
116 | ID: 116     | Mini Figo Turco | Frutas Desidratadas | R$ 15,00 | 100 g1 unidade | CÓD: 169 | IMG: SIM
117 | ID: 117     | Figo Turco | Frutas Desidratadas | R$ 15,90 | 100 g1 unidade | CÓD: 51 | IMG: SIM
118 | ID: 118     | Banana Chips Salgada | Chips e Snacks | R$ 12,00 | 100 g1 unidade | CÓD: 26 | IMG: SIM
119 | ID: 119     | Chips de Mandioca Premium | Chips e Snacks | R$ 18,00 | 100 g1 unidade | CÓD: 45 | IMG: SIM
120 | ID: 120     | Chips de Kiwi | Chips e Snacks | R$ 25,00 | 100 g1 unidade | CÓD: 674 | IMG: SIM
121 | ID: 121     | Chips de Coco sem Açúcar | Chips e Snacks | R$ 10,90 | 100 g1 unidade | CÓD: 195 | IMG: SIM
122 | ID: 122     | Chips de Coco com Bordo | Chips e Snacks | R$ 12,00 | 100 g1 unidade | CÓD: 06 | IMG: SIM
123 | ID: 123     | Mix de Castanhas | Oleaginosas | R$ 19,90 | 100 g1 unidade | CÓD: 73 | IMG: SIM
124 | ID: 124     | Amêndoa Laminada | Oleaginosas | R$ 16,90 | 100 g1 unidade | CÓD: 11 | IMG: SIM
125 | ID: 125     | Macadâmia sem Sal | Oleaginosas | R$ 26,00 | 100 g1 unidade | CÓD: 63 | IMG: SIM
126 | ID: 126     | Pistache com Casca | Oleaginosas | R$ 20,00 | 100 g1 unidade | CÓD: 85 | IMG: SIM
127 | ID: 127     | Pistache Inteiro sem Casca | Oleaginosas | R$ 32,00 | 100 g1 unidade | CÓD: 86 | IMG: SIM
128 | ID: 128     | Castanha do Pará Inteira | Oleaginosas | R$ 21,00 | 100 g1 unidade | CÓD: 43 | IMG: SIM
129 | ID: 129     | Castanha do Pará Quebrada | Oleaginosas | R$ 14,90 | 100 g1 unidade | CÓD: 44 | IMG: SIM
130 | ID: 130     | Castanha de Caju Crua W1 | Oleaginosas | R$ 13,00 | 100 g1 unidade | CÓD: 37 | IMG: SIM
131 | ID: 131     | Castanha de Caju Quebrada sem Sal | Oleaginosas | R$ 10,00 | 100 g1 unidade | CÓD: 230 | IMG: SIM
132 | ID: 132     | Castanha de Caju Assada sem Sal | Oleaginosas | R$ 14,00 | 100 g1 unidade | CÓD: 625 | IMG: SIM
133 | ID: 133     | Castanha de Caju Torrada com Sal | Oleaginosas | R$ 14,00 | 100 g1 unidade | CÓD: 38 | IMG: SIM
134 | ID: 134     | Castanha de Caju Torrada sem Sal | Oleaginosas | R$ 14,00 | 100 g1 unidade | CÓD: 40 | IMG: SIM
135 | ID: 135     | Noz Pecan | Oleaginosas | R$ 19,90 | 100 g1 unidade | CÓD: 81 | IMG: SIM
136 | ID: 136     | Noz Quartilho | Oleaginosas | R$ 9,90 | 100 g1 unidade | CÓD: 620 | IMG: SIM
137 | ID: 137     | Noz Quartz | Oleaginosas | R$ 10,50 | 100 g1 unidade | CÓD: 82 | IMG: SIM
138 | ID: 138     | Noz Mariposa | Oleaginosas | R$ 12,90 | 100 g1 unidade | CÓD: 119 | IMG: SIM
139 | ID: 139     | Xerém de Amendoim | Oleaginosas | R$ 3,90 | 100 g1 unidade | CÓD: 951 | IMG: SIM
140 | ID: 140     | Amendoim Doce | Oleaginosas | R$ 3,90 | 100 g1 unidade | CÓD: 16 | IMG: SIM
141 | ID: 141     | Amendoim Natural | Oleaginosas | R$ 5,50 | 100 g1 unidade | CÓD: 19 | IMG: SIM
142 | ID: 142     | Amendoim sem Casca | Oleaginosas | R$ 2,90 | 100 g1 unidade | CÓD: 15 | IMG: SIM
143 | ID: 143     | Cacau 100% Alcalino | Ingredientes Naturais | R$ 7,90 | 100 g1 unidade | CÓD: 639 | IMG: SIM
144 | ID: 144     | Cacau 70% | Ingredientes Naturais | R$ 7,50 | 100 g1 unidade | CÓD: 316 | IMG: SIM
145 | ID: 145     | Cacau 50% | Ingredientes Naturais | R$ 5,50 | 100 g1 unidade | CÓD: 353 | IMG: SIM
146 | ID: 146     | Nibs de Cacau | Ingredientes Naturais | R$ 24,90 | 100 g1 unidade | CÓD: 716 | IMG: SIM
147 | ID: 147     | Eritritol | Adoçantes | R$ 6,20 | 100 g1 unidade | CÓD: 315 | IMG: SIM
148 | ID: 148     | Stevia em Pó | Adoçantes | R$ 42,00 | 100 g1 unidade | CÓD: 940 | IMG: SIM
149 | ID: 149     | Cravo em Pó | Temperos | R$ 6,50 | 100 g1 unidade | CÓD: 196 | IMG: SIM
150 | ID: 150     | Bicarbonato de Sódio | Ingredientes Naturais | R$ 1,90 | 100 g1 unidade | CÓD: 314 | IMG: SIM
151 | ID: 151     | Farinha Panko | Farinhas | R$ 4,00 | 100 g1 unidade | CÓD: 346 | IMG: SIM
152 | ID: 152     | Farinha Mineira | Farinhas | R$ 4,10 | 100 g1 unidade | CÓD: 439 | IMG: SIM
153 | ID: 153     | Polvilho Doce | Farinhas | R$ 1,90 | 100 g1 unidade | CÓD: 373 | IMG: SIM
154 | ID: 154     | Polvilho Azedo | Farinhas | R$ 1,99 | 100 g1 unidade | CÓD: 372 | IMG: SIM
155 | ID: 155     | Flocos de Arroz | Cereais | R$ 4,00 | 100 g1 unidade | CÓD: 262 | IMG: SIM
156 | ID: 156     | Fubá Italiano | Farinhas | R$ 3,10 | 100 g1 unidade | CÓD: 156 | IMG: SIM
157 | ID: 157     | Açúcar Mascavo | Açúcares Naturais | R$ 4,69 | 100 g1 unidade | CÓD: 303 | IMG: SIM
158 | ID: 158     | Açúcar de Coco | Açúcares Naturais | R$ 6,00 | 100 g1 unidade | CÓD: 301 | IMG: SIM
159 | ID: 159     | Açúcar Demerara | Açúcares Naturais | R$ 1,49 | 100 g1 unidade | CÓD: 302 | IMG: SIM
160 | ID: 160     | Café Bossa Nova | Cafés | R$ 59,90 | 500 g1 unidade | CÓD: - | IMG: SIM
161 | ID: 161     | Café Bossa Nova | Cafés | R$ 30,00 | 250 g1 unidade | CÓD: - | IMG: NÃO
162 | ID: 162     | Cebola em Conserva Temperada | Conservas | R$ 31,00 | 340 g1 unidade | CÓD: - | IMG: SIM
163 | ID: 163     | Homus | Pastas e Patês | R$ 42,00 | 320 g1 unidade | CÓD: - | IMG: SIM
164 | ID: 164     | Pasta de Truta Defumada Tradicional | Pastas e Patês | R$ 39,90 | 160 g1 unidade | CÓD: - | IMG: SIM
165 | ID: 165     | Geleia de Abacaxi com Hortelã Diet | Geleias | R$ 34,90 | 200 g1 unidade | CÓD: - | IMG: SIM
166 | ID: 166     | Geleia de Frutos Vermelhos Diet | Geleias | R$ 39,90 | 200 g1 unidade | CÓD: - | IMG: SIM
167 | ID: 167     | Geleia de Pimenta Diet | Geleias | R$ 34,90 | 200 g1 unidade | CÓD: - | IMG: SIM
168 | ID: 168     | Óleo de Coco Copra Extravirgem | Óleos | R$ 64,90 | 500 ml1 unidade | CÓD: - | IMG: SIM
169 | ID: 169     | Óleo de Coco Copra Extravirgem | Óleos | R$ 29,90 | 200 ml1 unidade | CÓD: - | IMG: SIM
170 | ID: 170     | Óleo de Coco Copra sem Sabor e sem Cheiro | Óleos | R$ 25,00 | 200 ml1 unidade | CÓD: - | IMG: SIM
171 | ID: 171     | Óleo de Coco Copra sem Sabor e sem Cheiro | Óleos | R$ 51,90 | 500 ml1 unidade | CÓD: - | IMG: SIM
172 | ID: 172     | Óleo de Coco Santo Óleo Extravirgem | Óleos | R$ 28,00 | 200 ml1 unidade | CÓD: - | IMG: SIM
173 | ID: 173     | Óleo de Coco Santo Óleo Extravirgem | Óleos | R$ 54,90 | 500 ml1 unidade | CÓD: - | IMG: SIM
174 | ID: 174     | Azeite de Abacate Extravirgem | Óleos | R$ 39,00 | 250 ml1 unidade | CÓD: - | IMG: SIM
175 | ID: 175     | Tahine Integral | Pastas e Patês | R$ 36,90 | 320 g1 unidade | CÓD: - | IMG: SIM
176 | ID: 176     | Tahine Tradicional | Pastas e Patês | R$ 37,90 | 320 g1 unidade | CÓD: - | IMG: SIM
177 | ID: 177     | Gergelim Mix | Sementes | R$ 19,90 | 170 g1 unidade | CÓD: - | IMG: SIM
178 | ID: 178     | Sriracha Hot Chili Sauce | Molhos | R$ 31,90 | 330 g1 unidade | CÓD: - | IMG: SIM
179 | ID: 179     | Molho Mrs Chicken | Molhos | R$ 32,90 | 320 g1 unidade | CÓD: - | IMG: SIM
180 | ID: 180     | Geleia de Pimenta com Frutas Vermelhas | Geleias | R$ 24,90 | 260 g1 unidade | CÓD: - | IMG: SIM
181 | ID: 181     | Molho Agridoce Defumado | Molhos | R$ 24,90 | 260 g1 unidade | CÓD: - | IMG: SIM
182 | ID: 182     | Sal Sertão Integral | Sais | R$ 14,90 | 1 kg1 unidade | CÓD: - | IMG: SIM
183 | ID: 183     | Sal Marinho Integral de Mossoró | Sais | R$ 12,00 | 500 g1 unidade | CÓD: - | IMG: SIM
184 | ID: 184     | Sal Marinho Integral de Mossoró | Sais | R$ 20,00 | 1 kg1 unidade | CÓD: - | IMG: SIM
185 | ID: 185     | Sal Marinho Integral | Sais | R$ 15,90 | 1 kg1 unidade | CÓD: - | IMG: SIM
186 | ID: 186     | Flocos de Milho Livre | Cereais | R$ 9,90 | 500 g1 unidade | CÓD: - | IMG: SIM
187 | ID: 187     | Extrato Natural de Baunilha | Ingredientes Naturais | R$ 44,00 | 30 ml1 unidade | CÓD: - | IMG: SIM
188 | ID: 188     | Shoyu de Coco Copra | Molhos | R$ 34,90 | 250 ml1 unidade | CÓD: - | IMG: SIM
189 | ID: SEM ID  | Black Maca Peruana Premium | Suplementos | R$ 68,00 | 150 g | CÓD: - | IMG: SIM
190 | ID: SEM ID  | Beterraba em Pó | Granel | R$ 8,90 | 100 g | CÓD: - | IMG: SIM
191 | ID: SEM ID  | Feno Grego em Pó | Granel | R$ 5,90 | 100 g | CÓD: - | IMG: SIM
192 | ID: SEM ID  | Energético em Pó (Tribulus) | Suplementos | R$ 11,90 | 100 g | CÓD: - | IMG: SIM
193 | ID: SEM ID  | Farinha de Berinjela | Granel | R$ 8,90 | 100 g | CÓD: - | IMG: SIM
194 | ID: SEM ID  | Farinha de Inhame | Granel | R$ 10,00 | 100 g | CÓD: - | IMG: SIM
195 | ID: SEM ID  | Goma Xantana | Granel | R$ 8,90 | 100 g | CÓD: - | IMG: SIM
196 | ID: SEM ID  | Semolina | Granel | R$ 2,20 | 100 g | CÓD: - | IMG: SIM
197 | ID: SEM ID  | Farinha de Centeio | Granel | R$ 2,50 | 100 g | CÓD: - | IMG: SIM
198 | ID: SEM ID  | Farinha de Maracujá | Granel | R$ 3,50 | 100 g | CÓD: - | IMG: SIM
